type,n,ratio,baseline F1 score,SLOE F1 score,baseline time (s),SLOE time (s)
gaussian,500,0.1,0.5714285714285715,0.5714285714285715,0.06600093841552734,1.2579984664916992
non_gaussian,500,0.1,0.5869565217391304,0.5934065934065934,0.05699658393859863,1.489290714263916
non_gaussian,500,0.1,0.5869565217391304,0.5934065934065934,0.05699658393859863,1.489290714263916
heavy,500,0.1,0.6181818181818182,0.6181818181818182,0.20499777793884277,2.864994764328003
gaussian,1000,0.1,0.5104166666666666,0.5104166666666666,0.2779979705810547,1.7879998683929443
non_gaussian,1000,0.1,0.43877551020408156,0.43654822335025373,0.2969996929168701,1.6020030975341797
non_gaussian,1000,0.1,0.43877551020408156,0.43654822335025373,0.2969996929168701,1.6020030975341797
heavy,1000,0.1,0.6231155778894473,0.6231155778894473,0.6470022201538086,18.008241176605225
gaussian,5000,0.1,0.5303326810176126,0.5303326810176126,1.956007957458496,1.7435197830200195
non_gaussian,5000,0.1,0.4797507788161994,0.47083333333333327,1.8819944858551025,1.9980080127716064
non_gaussian,5000,0.1,0.4797507788161994,0.47083333333333327,1.8819944858551025,1.9980080127716064
heavy,5000,0.1,0.5650406504065041,,4.752522230148315,
gaussian,500,0.2,0.4,0.4,0.2500019073486328,0.9521348476409912
non_gaussian,500,0.2,0.5199999999999999,0.54,0.17899847030639648,1.716003656387329
non_gaussian,500,0.2,0.5199999999999999,0.54,0.17899847030639648,1.716003656387329
heavy,500,0.2,0.5376344086021505,,0.4809989929199219,
gaussian,1000,0.2,0.5233644859813085,0.5233644859813085,0.25300025939941406,1.0960021018981934
non_gaussian,1000,0.2,0.5102040816326532,0.4973544973544974,0.19697022438049316,1.1919000148773193
non_gaussian,1000,0.2,0.5102040816326532,0.4973544973544974,0.19697022438049316,1.1919000148773193
heavy,1000,0.2,0.48128342245989303,,0.7969965934753418,
gaussian,5000,0.2,0.5010224948875256,0.5010224948875256,5.06499981880188,2.428431510925293
non_gaussian,5000,0.2,0.4872057318321392,0.49796747967479676,5.64799952507019,3.8466713428497314
non_gaussian,5000,0.2,0.4872057318321392,0.49796747967479676,5.64799952507019,3.8466713428497314
heavy,5000,0.2,0.5619999999999999,,9.19399905204773,
